Column1,name,serving_size,calories,calcium,protein,carbohydrate,fiber,sugars,fat
224,"Candies, YORK BITES",100 g,394,10.00 mg,1.78 g,81.64 g,2.0 g,75.00 g,7.32 g
225,"Meatballs, meatless",100 g,197,25.00 mg,21.00 g,8.00 g,4.6 g,1.25 g,9.00 g
226,"Emu, raw, full rump",100 g,112,4.00 mg,22.83 g,0.00 g,0.0 g,0.00 g,1.64 g
227,"Mustard greens, raw",100 g,27,115.00 mg,2.86 g,4.67 g,3.2 g,1.32 g,0.42 g
228,"Seaweed, raw, laver",100 g,35,70.00 mg,5.81 g,5.11 g,0.3 g,0.49 g,0.28 g
229,"Sweet rolls, cheese",100 g,360,118.00 mg,7.10 g,43.70 g,1.2 g,0,18.30 g
230,"Figs, stewed, dried",100 g,107,70.00 mg,1.42 g,27.57 g,4.2 g,23.35 g,0.40 g
231,"Bread sticks, plain",100 g,412,22.00 mg,12.00 g,68.40 g,3.0 g,1.26 g,9.50 g
232,"SILK Mocha, soymilk",100 g,58,123.00 mg,2.06 g,9.05 g,0.0 g,7.41 g,1.44 g
233,Milk and cereal bar,100 g,413,410.00 mg,6.47 g,72.05 g,0.4 g,45.97 g,10.98 g
234,"Bread, pumpernickel",100 g,250,68.00 mg,8.70 g,47.50 g,6.5 g,0.53 g,3.10 g
235,"Game meat, raw, elk",100 g,111,4.00 mg,22.95 g,0.00 g,0.0 g,0,1.45 g
236,"PACE, Pico De Gallo",100 g,31,0.00 mg,0.00 g,9.38 g,0,6.25 g,0.00 g
237,"Ostrich, raw, round",100 g,116,5.00 mg,21.99 g,0.00 g,0.0 g,0.00 g,2.40 g
238,"HORMEL, Cure 81 Ham",100 g,106,4.00 mg,18.43 g,0.21 g,0,0.00 g,3.59 g
239,"Prune juice, canned",100 g,71,12.00 mg,0.61 g,17.45 g,1.0 g,16.45 g,0.03 g
240,"McDONALD'S, BIG MAC",100 g,257,116.00 mg,11.82 g,20.08 g,1.6 g,3.97 g,14.96 g
241,"Soy flour, defatted",100 g,327,241.00 mg,51.46 g,33.92 g,17.5 g,16.42 g,1.22 g
242,"Bread, toasted, egg",100 g,315,102.00 mg,10.50 g,52.60 g,2.5 g,1.94 g,6.60 g
243,"Fish, raw, mahimahi",100 g,85,15.00 mg,18.50 g,0.00 g,0.0 g,0,0.70 g
244,"Fish, raw, bluefish",100 g,124,7.00 mg,20.04 g,0.00 g,0.0 g,0,4.24 g
245,"Spices, fennel seed",100 g,345,1196.00 mg,15.80 g,52.29 g,39.8 g,0,14.87 g
